"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 14:14:28 GMT 2023","Thu Mar 30 14:14:33 GMT 2023","5245","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"passed","Thu Mar 30 14:13:31 GMT 2023","Thu Mar 30 14:13:33 GMT 2023","2652","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"passed","Thu Mar 30 14:13:27 GMT 2023","Thu Mar 30 14:13:29 GMT 2023","2244","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_accept_cookies",""
"broken","Thu Mar 30 14:13:42 GMT 2023","Thu Mar 30 14:13:48 GMT 2023","5335","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"broken","Thu Mar 30 14:14:41 GMT 2023","Thu Mar 30 14:14:43 GMT 2023","2254","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"passed","Thu Mar 30 14:13:41 GMT 2023","Thu Mar 30 14:13:41 GMT 2023","273","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"passed","Thu Mar 30 14:13:39 GMT 2023","Thu Mar 30 14:13:40 GMT 2023","334","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
"broken","Thu Mar 30 14:14:02 GMT 2023","Thu Mar 30 14:14:07 GMT 2023","5356","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create2",""
"broken","Thu Mar 30 14:14:35 GMT 2023","Thu Mar 30 14:14:40 GMT 2023","5323","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
"passed","Thu Mar 30 14:13:34 GMT 2023","Thu Mar 30 14:13:37 GMT 2023","2315","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"broken","Thu Mar 30 14:14:15 GMT 2023","Thu Mar 30 14:14:20 GMT 2023","5250","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"broken","Thu Mar 30 14:13:56 GMT 2023","Thu Mar 30 14:14:01 GMT 2023","5346","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"passed","Thu Mar 30 14:14:45 GMT 2023","Thu Mar 30 14:14:49 GMT 2023","4594","test_conduit_vizsgaremek","test_registration","TestConduit","","","test_registration",""
"broken","Thu Mar 30 14:13:49 GMT 2023","Thu Mar 30 14:13:54 GMT 2023","5352","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"broken","Thu Mar 30 14:14:22 GMT 2023","Thu Mar 30 14:14:27 GMT 2023","5268","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"broken","Thu Mar 30 14:14:09 GMT 2023","Thu Mar 30 14:14:14 GMT 2023","5246","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"passed","Thu Mar 30 14:13:38 GMT 2023","Thu Mar 30 14:13:38 GMT 2023","288","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
